stock_ticker,test_rmse,test_rmse_x492
MMM,0.05583105738622715,27.468880234023757
AOS,0.05781651996907531,28.445727824785052
ABT,0.055380295618354614,27.24710544423047
ABBV,0.035849284841982375,17.63784814225533
ACN,0.050053298316652374,24.626222771792968
ADBE,0.06149209018535832,30.254108371196292
AMD,0.04087351877390008,20.10977123675884
AES,0.04422424297086283,21.758327541664514
AFL,0.0618152755124452,30.41311555212304
A,0.07222330330526425,35.53386522619001
APD,0.06702045624572205,32.97406447289524
AKAM,0.061649902671274515,30.33175211426706
ALB,0.06435131679175038,31.660847861541185
ARE,0.047473672641466874,23.3570469396017
ALGN,0.04449766651646438,21.892851926100477
ALLE,0.05923505821298103,29.143648640786665
LNT,0.049311629360632776,24.261321645431327
ALL,0.05265046549677503,25.904029024413315
GOOGL,0.061812195652002896,30.411600260785423
GOOG,0.060849093320982844,29.937753913923558
MO,0.04803698151765888,23.63419490668817
AMZN,0.05259046778894137,25.874510152159154
AMCR,0.09092359549057644,44.73440898136361
AEE,0.048823602279730025,24.02121232162717
AAL,0.0374636767676124,18.4321289696653
AEP,0.044262069919029805,21.776938400162663
AXP,0.06306241731647658,31.026709319706477
AIG,0.055133473515796186,27.125668969771723
AMT,0.060942618410729954,29.983768258079138
AWK,0.04505772870892946,22.168402524793294
AMP,0.060970303552863196,29.997389348008692
AME,0.04865170689790618,23.936639793769842
AMGN,0.0534736044041901,26.309013366861528
APH,0.06332462474040468,31.1557153722791
ADI,0.07379228276072979,36.30580311827905
ANSS,0.04862602345658495,23.924003540639795
AON,0.05379310183792187,26.46620610425756
APA,0.06406115367209457,31.51808760667053
AAPL,0.04008305781816307,19.72086444653623
AMAT,0.07404826608847576,36.43174691553007
APTV,0.0670334338426786,32.98044945059787
ACGL,0.04819526879084116,23.712072245093854
ADM,0.06588090932724076,32.41340738900246
ANET,0.10505272051710479,51.68593849441556
AJG,0.05204449109423164,25.605889618361967
AIZ,0.04435945619053698,21.824852445744195
T,0.07194091391468267,35.394929646023876
ATO,0.04992066154068648,24.56096547801775
ADSK,0.07616569772169712,37.47352327907498
ADP,0.053569661810099235,26.356273610568824
AZO,0.04778892393406112,23.51215057555807
AVB,0.055053732769300985,27.086436522496086
AVY,0.058750513095509174,28.905252442990513
AXON,0.09582363170120672,47.14522679699371
BKR,0.056334850462376865,27.71674642748942
BALL,0.05313359492326378,26.14172870224578
BAC,0.05589101739128413,27.498380556511794
BK,0.07559450386077854,37.192495899503044
BBWI,0.045462776085232345,22.367685833934313
BAX,0.09585341939354075,47.15988234162205
BDX,0.10408739920274056,51.21100040774835
BBY,0.0684541296610647,33.679431793243836
BIO,0.07541068220596694,37.10205564533574
TECH,0.06861107838313604,33.756650564502934
BIIB,0.09203554643802582,45.281488847508705
BLK,0.04940263686073386,24.30609733548106
BX,0.05134284104932699,25.260677796268876
BA,0.08484806417024356,41.745247571759826
BKNG,0.08903359825425176,43.80453034109187
BWA,0.06459345256678435,31.7799786628579
BXP,0.08627422235706073,42.44691739967388
BSX,0.06688517959831466,32.90750836237081
BMY,0.05190137014517017,25.535474111423724
AVGO,0.07062989426018973,34.74990797601335
BR,0.06599606031705801,32.47006167599254
BRO,0.05296629843714366,26.05941883107468
BLDR,0.04856172074130456,23.892366604721843
BG,0.05598236393790762,27.54332305745055
CDNS,0.05227190930270515,25.717779376930935
CZR,0.06321160084796584,31.100107617199196
CPT,0.05403178265232492,26.583637064943858
CPB,0.05342083092490539,26.28304881505345
COF,0.0637055689212671,31.34313990926341
CAH,0.05231121178764089,25.73711619951932
KMX,0.06441762136274316,31.693469710469635
CCL,0.06522781041258831,32.092082722993446
CTLT,0.05144000591664925,25.30848291099143
CAT,0.08680587140691166,42.708488732200536
CBOE,0.09062101638265431,44.58554006026592
CBRE,0.06236203619077238,30.68212180586001
CDW,0.04722951862088301,23.23692316147444
CE,0.061592485381511304,30.303502807703563
COR,0.09375907568292287,46.129465235998055
CNC,0.07416980885336831,36.491545955857205
CNP,0.12038919407396945,59.23148348439297
CF,0.08186565960517111,40.27790452574419
CHRW,0.14573511811382964,71.70167811200419
CRL,0.07277608323734124,35.80583295277189
SCHW,0.07009767886631768,34.4880580022283
CHTR,0.04714556251533399,23.195616757544325
CVX,0.09503778618937639,46.758590805173185
CMG,0.04738431350985622,23.31308224684926
CB,0.07884395597517066,38.79122633978397
CHD,0.05589971425692088,27.50265941440507
CI,0.07387692147904036,36.34744536768786
CINF,0.04480118717603724,22.042184090610323
CTAS,0.056278834738474115,27.689186691329265
CSCO,0.07397604416455432,36.396213728960724
C,0.06004128218387587,29.540310834466926
CFG,0.05677987722190239,27.935699593175976
CLX,0.05578571805706585,27.446573284076397
CME,0.0824717802318208,40.57611587405583
CMS,0.050283410268921545,24.7394378523094
KO,0.061078282582537266,30.050515030608334
CTSH,0.041034966861360586,20.18920369578941
CL,0.07855702429969177,38.65005595544835
CMCSA,0.05825675841824501,28.66232514177654
CMA,0.04719074530731046,23.217846691196748
CAG,0.08091653269555384,39.810934086212484
COP,0.07833998411657259,38.543272185353715
ED,0.06179777392503218,30.404504771115835
STZ,0.06138576066323072,30.201794246309515
COO,0.05022604716603833,24.71121520569086
CPRT,0.03982139447431386,19.59212608136242
GLW,0.09061835938341614,44.58423281664074
CPAY,0.05621133831335839,27.655978450172327
CTVA,0.12385694938955774,60.937619099662406
CSGP,0.06091936855270491,29.972329327930815
COST,0.0375455030833384,18.472387517002492
CTRA,0.06166425439927391,30.33881316444276
CCI,0.08041589604364163,39.56462085347168
